scenario,condition,llm,n_robots,n_tasks,tasks_completed,tasks_completion_rate,makespan,work_tasks_never_started,agent_total_calls,tokens_in,tokens_out,tokens_total,tokens_in_per_call,tokens_out_per_call,tokens_total_per_call,mean_tool_rounds,decisions_truncated,total_stuck_ticks,stuck_rate_overall,mean_latency_ms
scenario_01,baseline,asi1,2,4,4,1.0,66,0,5,37024,1051,38075,7404.8,210.2,7615.0,2.0,0,22,0.11,3822.6
scenario_01,structured_override,asi1,2,4,4,1.0,63,0,4,24759,819,25578,6189.8,204.8,6394.5,2.0,0,13,0.065,3373.25
scenario_01,baseline,claude-haiku,2,4,3,0.75,30,1,4,28298,1104,29402,7074.5,276.0,7350.5,2.0,0,57,0.285,4391.25
scenario_01,structured_override,claude-haiku,2,4,4,1.0,40,0,5,42558,1220,43778,8511.6,244.0,8755.6,2.0,0,1,0.005,4404.6
scenario_01,baseline,deepseek-r1,2,4,4,1.0,75,0,5,55186,5557,60743,11037.2,1111.4,12148.6,2.6,1,40,0.2,35556.8
scenario_01,structured_override,deepseek-r1,2,4,4,1.0,37,0,5,38252,4260,42512,7650.4,852.0,8502.4,2.0,0,0,0.0,27803.2
scenario_01,baseline,gemini-2.0-flash,2,4,2,0.5,30,2,3,1645,23,1668,548.3,7.7,556.0,0.6666666666666666,0,1,0.005,1107.6666666666667
scenario_01,structured_override,gemini-2.0-flash,2,4,2,0.5,30,2,3,3579,82,3661,1193.0,27.3,1220.3,1.3333333333333333,0,0,0.0,1459.6666666666667
scenario_01,baseline,gemma-4-26b-a4b,2,4,4,1.0,40,0,5,32308,382,32690,6461.6,76.4,6538.0,2.0,0,1,0.005,8759.4
scenario_01,structured_override,gemma-4-26b-a4b,2,4,4,1.0,40,0,5,32904,367,33271,6580.8,73.4,6654.2,2.0,0,1,0.005,14914.2
scenario_01,baseline,gpt-4o,2,4,4,1.0,40,0,5,30584,860,31444,6116.8,172.0,6288.8,2.0,0,1,0.005,4003.2
scenario_01,structured_override,gpt-4o,2,4,4,1.0,63,0,4,17698,251,17949,4424.5,62.8,4487.2,2.0,0,13,0.065,2293.75
scenario_01,baseline,gpt-oss-20b,2,4,4,1.0,65,0,5,28642,3524,32166,5728.4,704.8,6433.2,2.0,0,20,0.1,4736.8
scenario_01,structured_override,gpt-oss-20b,2,4,4,1.0,62,0,5,23229,1074,24303,4645.8,214.8,4860.6,1.6,0,13,0.065,8415.2
scenario_01,baseline,llama-3.3-70b,2,4,4,1.0,40,0,5,35388,548,35936,7077.6,109.6,7187.2,2.0,0,1,0.005,4993.6
scenario_01,structured_override,llama-3.3-70b,2,4,4,1.0,66,0,5,42081,1542,43623,8416.2,308.4,8724.6,2.0,0,22,0.11,16657.6
scenario_01,baseline,qwen3-32b,2,4,4,1.0,37,0,5,30902,10108,41010,6180.4,2021.6,8202.0,2.0,0,0,0.0,53425.0
scenario_01,structured_override,qwen3-32b,2,4,4,1.0,62,0,5,32006,15509,47515,6401.2,3101.8,9503.0,2.0,0,13,0.065,79680.2
scenario_02,baseline,asi1,3,4,4,1.0,41,0,5,45449,1887,47336,9089.8,377.4,9467.2,2.0,0,17,0.0567,4584.2
scenario_02,structured_override,asi1,3,4,4,1.0,41,0,5,43090,1331,44421,8618.0,266.2,8884.2,2.0,0,17,0.0567,3719.4
scenario_02,baseline,claude-haiku,3,4,4,1.0,33,0,4,30289,1038,31327,7572.2,259.5,7831.8,2.0,0,8,0.0267,4512.0
scenario_02,structured_override,claude-haiku,3,4,4,1.0,29,0,5,47305,1403,48708,9461.0,280.6,9741.6,2.0,0,0,0.0,4489.0
scenario_02,baseline,deepseek-r1,3,4,4,1.0,35,0,5,45022,9751,54773,9004.4,1950.2,10954.6,2.0,0,5,0.0167,56654.8
scenario_02,structured_override,deepseek-r1,3,4,4,1.0,41,0,5,48736,9777,58513,9747.2,1955.4,11702.6,2.2,0,15,0.05,58646.0
scenario_02,baseline,gemini-2.0-flash,3,4,4,1.0,41,0,5,22058,491,22549,4411.6,98.2,4509.8,2.6,1,13,0.0433,3045.6
scenario_02,structured_override,gemini-2.0-flash,3,4,2,0.5,14,2,3,2235,118,2353,745.0,39.3,784.3,0.6666666666666666,0,96,0.32,1374.0
scenario_02,baseline,gemma-4-26b-a4b,3,4,4,1.0,35,0,5,36608,501,37109,7321.6,100.2,7421.8,2.0,0,13,0.0433,12334.8
scenario_02,structured_override,gemma-4-26b-a4b,3,4,4,1.0,34,0,5,49527,787,50314,9905.4,157.4,10062.8,2.6,1,8,0.0267,16534.6
scenario_02,baseline,gpt-4o,3,4,4,1.0,35,0,5,36285,1194,37479,7257.0,238.8,7495.8,2.0,0,15,0.05,6147.6
scenario_02,structured_override,gpt-4o,3,4,4,1.0,29,0,5,28104,572,28676,5620.8,114.4,5735.2,1.8,0,0,0.0,2621.8
scenario_02,baseline,gpt-oss-20b,3,4,0,0.0,,4,1,5253,751,6004,5253.0,751.0,6004.0,5.0,1,0,0.0,31910.0
scenario_02,structured_override,gpt-oss-20b,3,4,4,1.0,34,0,5,23750,2209,25959,4750.0,441.8,5191.8,1.4,0,8,0.0267,15629.6
scenario_02,baseline,llama-3.3-70b,3,4,4,1.0,35,0,5,38087,385,38472,7617.4,77.0,7694.4,2.0,0,13,0.0433,6206.0
scenario_02,structured_override,llama-3.3-70b,3,4,4,1.0,36,0,5,40139,614,40753,8027.8,122.8,8150.6,2.0,0,10,0.0333,5579.0
scenario_02,baseline,qwen3-32b,3,4,4,1.0,35,0,5,29936,13083,43019,5987.2,2616.6,8603.8,1.8,0,4,0.0133,111120.0
scenario_02,structured_override,qwen3-32b,3,4,4,1.0,51,0,5,34983,16296,51279,6996.6,3259.2,10255.8,2.2,0,35,0.1167,117379.8
scenario_03,baseline,asi1,3,5,5,1.0,46,0,6,58622,1122,59744,9770.3,187.0,9957.3,2.0,0,7,0.0233,3773.5
scenario_03,structured_override,asi1,3,5,5,1.0,37,0,4,33502,1641,35143,8375.5,410.2,8785.8,2.0,0,3,0.01,5829.0
scenario_03,baseline,claude-haiku,3,5,5,1.0,46,0,5,50836,1573,52409,10167.2,314.6,10481.8,2.0,0,0,0.0,7501.0
scenario_03,structured_override,claude-haiku,3,5,5,1.0,46,0,5,51525,1402,52927,10305.0,280.4,10585.4,2.0,0,0,0.0,5081.8
scenario_03,baseline,deepseek-r1,3,5,5,1.0,90,0,6,79796,4008,83804,13299.3,668.0,13967.3,2.3333333333333335,0,101,0.3367,23894.5
scenario_03,structured_override,deepseek-r1,3,5,5,1.0,34,0,4,31306,5351,36657,7826.5,1337.8,9164.2,2.0,0,1,0.0033,40685.0
scenario_03,baseline,gemini-2.0-flash,3,5,5,1.0,57,0,6,49159,794,49953,8193.2,132.3,8325.5,3.3333333333333335,2,29,0.0967,4068.3333333333335
scenario_03,structured_override,gemini-2.0-flash,3,5,5,1.0,37,0,6,21809,418,22227,3634.8,69.7,3704.5,2.0,0,0,0.0,2389.1666666666665
scenario_03,baseline,gemma-4-26b-a4b,3,5,5,1.0,46,0,6,58421,698,59119,9736.8,116.3,9853.2,2.0,0,6,0.02,10019.5
scenario_03,structured_override,gemma-4-26b-a4b,3,5,5,1.0,37,0,4,29068,603,29671,7267.0,150.8,7417.8,2.0,0,1,0.0033,13775.75
scenario_03,baseline,gpt-4o,3,5,5,1.0,47,0,5,34489,1191,35680,6897.8,238.2,7136.0,1.8,0,0,0.0,5636.0
scenario_03,structured_override,gpt-4o,3,5,5,1.0,37,0,4,27434,1024,28458,6858.5,256.0,7114.5,2.0,0,1,0.0033,4201.5
scenario_03,baseline,gpt-oss-20b,3,5,1,0.2,27,4,2,4312,816,5128,2156.0,408.0,2564.0,1.5,0,29,0.0967,4999.0
scenario_03,structured_override,gpt-oss-20b,3,5,5,1.0,37,0,4,31105,6529,37634,7776.2,1632.2,9408.5,2.5,0,1,0.0033,18705.75
scenario_03,baseline,llama-3.3-70b,3,5,5,1.0,46,0,6,68595,1170,69765,11432.5,195.0,11627.5,2.3333333333333335,0,7,0.0233,6339.666666666667
scenario_03,structured_override,llama-3.3-70b,3,5,5,1.0,37,0,4,30232,556,30788,7558.0,139.0,7697.0,2.0,0,1,0.0033,4068.5
scenario_03,baseline,qwen3-32b,3,5,5,1.0,80,0,6,58309,17778,76087,9718.2,2963.0,12681.2,2.1666666666666665,0,73,0.2433,108450.83333333333
scenario_03,structured_override,qwen3-32b,3,5,5,1.0,36,0,4,23687,10033,33720,5921.8,2508.2,8430.0,1.75,0,0,0.0,88039.0
scenario_04,baseline,asi1,5,5,4,0.8,21,0,3,20370,1024,21394,6790.0,341.3,7131.3,2.0,0,78,0.156,3917.6666666666665
scenario_04,structured_override,asi1,5,5,0,0.0,,0,2,10034,599,10633,5017.0,299.5,5316.5,2.0,0,0,0.0,4171.0
scenario_04,baseline,claude-haiku,5,6,5,0.8333,94,0,7,104787,2195,106982,14969.6,313.6,15283.1,2.0,0,7,0.014,5706.0
scenario_04,structured_override,claude-haiku,5,6,6,1.0,61,0,8,134600,2343,136943,16825.0,292.9,17117.9,1.875,0,45,0.09,5276.0
scenario_04,baseline,deepseek-r1,5,5,4,0.8,21,0,3,22940,2839,25779,7646.7,946.3,8593.0,2.3333333333333335,0,1,0.002,30741.666666666668
scenario_04,structured_override,deepseek-r1,5,6,6,1.0,57,0,8,158177,9420,167597,19772.1,1177.5,20949.6,2.25,0,44,0.088,39910.625
scenario_04,baseline,gemini-2.0-flash,5,5,4,0.8,21,0,3,1855,40,1895,618.3,13.3,631.7,0.6666666666666666,0,0,0.0,1206.6666666666667
scenario_04,structured_override,gemini-2.0-flash,5,6,6,1.0,37,0,5,13298,184,13482,2659.6,36.8,2696.4,1.6,0,1,0.002,1806.4
scenario_04,baseline,gemma-4-26b-a4b,5,5,4,0.8,21,0,3,17544,495,18039,5848.0,165.0,6013.0,2.0,0,54,0.108,20217.666666666668
scenario_04,structured_override,gemma-4-26b-a4b,5,6,6,1.0,77,0,8,137522,1227,138749,17190.2,153.4,17343.6,2.0,0,18,0.036,14550.5
scenario_04,baseline,gpt-4o,5,5,4,0.8,21,0,3,15718,703,16421,5239.3,234.3,5473.7,2.0,0,0,0.0,4093.0
scenario_04,structured_override,gpt-4o,5,6,5,0.8333,93,0,7,90672,1939,92611,12953.1,277.0,13230.1,2.0,0,21,0.042,4834.857142857143
scenario_04,baseline,gpt-oss-20b,5,5,4,0.8,21,0,3,14931,7312,22243,4977.0,2437.3,7414.3,3.0,1,0,0.0,25964.666666666668
scenario_04,structured_override,gpt-oss-20b,5,6,1,0.1667,23,1,3,24308,4189,28497,8102.7,1396.3,9499.0,2.6666666666666665,0,1,0.002,13205.666666666666
scenario_04,baseline,llama-3.3-70b,5,6,6,1.0,70,0,5,48211,530,48741,9642.2,106.0,9748.2,2.0,0,2,0.004,2385.4
scenario_04,structured_override,llama-3.3-70b,5,6,6,1.0,83,0,8,131508,1412,132920,16438.5,176.5,16615.0,2.0,0,36,0.072,6390.75
scenario_04,baseline,qwen3-32b,5,5,4,0.8,21,0,3,18243,11866,30109,6081.0,3955.3,10036.3,2.3333333333333335,0,77,0.154,167466.33333333334
scenario_04,structured_override,qwen3-32b,5,6,6,1.0,57,0,8,121481,22609,144090,15185.1,2826.1,18011.2,2.125,0,36,0.072,109703.75
scenario_05,baseline,asi1,3,4,0,0.0,,4,1,3048,347,3395,3048.0,347.0,3395.0,2.0,0,0,0.0,4685.0
scenario_05,structured_override,asi1,3,4,3,0.75,36,1,3,18430,721,19151,6143.3,240.3,6383.7,2.0,0,0,0.0,3265.6666666666665
scenario_05,baseline,claude-haiku,3,4,3,0.75,41,1,4,30129,979,31108,7532.2,244.8,7777.0,2.0,0,7,0.0233,3746.0
scenario_05,structured_override,claude-haiku,3,4,3,0.75,45,1,4,33148,1077,34225,8287.0,269.2,8556.2,2.0,0,19,0.0633,4819.5
scenario_05,baseline,deepseek-r1,3,4,0,0.0,,4,1,2803,752,3555,2803.0,752.0,3555.0,2.0,0,0,0.0,24558.0
scenario_05,structured_override,deepseek-r1,3,4,3,0.75,29,1,3,34992,4453,39445,11664.0,1484.3,13148.3,3.3333333333333335,0,0,0.0,47478.333333333336
scenario_05,baseline,gemini-2.0-flash,3,4,3,0.75,41,1,4,10873,417,11290,2718.2,104.2,2822.5,2.25,0,0,0.0,2734.25
scenario_05,structured_override,gemini-2.0-flash,3,4,3,0.75,29,1,3,9807,912,10719,3269.0,304.0,3573.0,2.0,0,0,0.0,3628.3333333333335
scenario_05,baseline,gemma-4-26b-a4b,3,4,3,0.75,48,1,4,24567,510,25077,6141.8,127.5,6269.2,2.0,0,0,0.0,12879.75
scenario_05,structured_override,gemma-4-26b-a4b,3,4,3,0.75,49,1,4,26861,512,27373,6715.2,128.0,6843.2,2.0,0,3,0.01,12642.75
scenario_05,baseline,gpt-4o,3,4,3,0.75,41,1,4,23046,1017,24063,5761.5,254.2,6015.8,2.0,0,0,0.0,3728.0
scenario_05,structured_override,gpt-4o,3,4,3,0.75,29,1,3,14755,645,15400,4918.3,215.0,5133.3,2.0,0,0,0.0,3011.6666666666665
scenario_05,baseline,gpt-oss-20b,3,4,0,0.0,,4,1,1982,482,2464,1982.0,482.0,2464.0,2.0,0,0,0.0,5347.0
scenario_05,structured_override,gpt-oss-20b,3,4,3,0.75,29,1,3,14209,3585,17794,4736.3,1195.0,5931.3,2.0,0,0,0.0,12391.333333333334
scenario_05,baseline,llama-3.3-70b,3,4,0,0.0,,4,1,429,19,448,429.0,19.0,448.0,0.0,0,0,0.0,392.0
scenario_05,structured_override,llama-3.3-70b,3,4,2,0.5,29,2,3,16781,287,17068,5593.7,95.7,5689.3,2.0,0,3,0.01,3545.3333333333335
scenario_05,baseline,qwen3-32b,3,4,3,0.75,40,1,4,27007,11657,38664,6751.8,2914.2,9666.0,2.25,0,0,0.0,88987.0
scenario_05,structured_override,qwen3-32b,3,4,3,0.75,29,1,3,15416,4426,19842,5138.7,1475.3,6614.0,2.0,0,0,0.0,56492.0
scenario_06,baseline,asi1,6,8,8,1.0,23,0,8,167291,3068,170359,20911.4,383.5,21294.9,2.0,0,18,0.03,5189.375
scenario_06,structured_override,asi1,6,8,7,0.875,13,1,4,49941,2459,52400,12485.2,614.8,13100.0,2.0,0,94,0.1567,7582.25
scenario_06,baseline,claude-haiku,6,8,8,1.0,27,0,6,107713,2395,110108,17952.2,399.2,18351.3,2.0,0,16,0.0267,6381.333333333333
scenario_06,structured_override,claude-haiku,6,8,8,1.0,23,0,5,73330,1334,74664,14666.0,266.8,14932.8,2.0,0,0,0.0,7429.2
scenario_06,baseline,deepseek-r1,6,8,8,1.0,21,0,5,127434,12413,139847,25486.8,2482.6,27969.4,3.2,1,26,0.0433,75981.8
scenario_06,structured_override,deepseek-r1,6,8,8,1.0,21,0,5,87336,17291,104627,17467.2,3458.2,20925.4,2.4,1,22,0.0367,165740.0
scenario_06,baseline,gemini-2.0-flash,6,8,8,1.0,21,0,5,32781,1827,34608,6556.2,365.4,6921.6,2.0,0,15,0.025,4373.0
scenario_06,structured_override,gemini-2.0-flash,6,8,7,0.875,9,1,4,20291,1062,21353,5072.8,265.5,5338.2,2.0,0,90,0.15,3419.25
scenario_06,baseline,gemma-4-26b-a4b,6,8,8,1.0,21,0,5,73528,1066,74594,14705.6,213.2,14918.8,2.2,0,21,0.035,21623.8
scenario_06,structured_override,gemma-4-26b-a4b,6,8,7,0.875,9,1,4,56836,1041,57877,14209.0,260.2,14469.2,2.5,0,90,0.15,11382.25
scenario_06,baseline,gpt-4o,6,8,7,0.875,13,1,5,52521,413,52934,10504.2,82.6,10586.8,2.0,0,181,0.3017,2442.4
scenario_06,structured_override,gpt-4o,6,8,7,0.875,12,1,5,56491,738,57229,11298.2,147.6,11445.8,2.0,0,92,0.1533,4843.4
scenario_06,baseline,gpt-oss-20b,6,8,5,0.625,9,3,3,24689,6347,31036,8229.7,2115.7,10345.3,3.0,1,99,0.165,22008.333333333332
scenario_06,structured_override,gpt-oss-20b,6,8,8,1.0,26,0,6,80604,11237,91841,13434.0,1872.8,15306.8,2.6666666666666665,1,27,0.045,20125.333333333332
scenario_06,baseline,llama-3.3-70b,6,8,7,0.875,9,1,4,47009,1180,48189,11752.2,295.0,12047.2,2.0,0,88,0.1467,6978.0
scenario_06,structured_override,llama-3.3-70b,6,8,7,0.875,10,1,5,73148,1496,74644,14629.6,299.2,14928.8,2.0,0,93,0.155,7352.8
scenario_06,baseline,qwen3-32b,6,8,7,0.875,9,1,4,44863,18071,62934,11215.8,4517.8,15733.5,2.25,0,91,0.1517,173924.0
scenario_06,structured_override,qwen3-32b,6,8,7,0.875,9,1,4,40882,13487,54369,10220.5,3371.8,13592.2,2.0,0,91,0.1517,143057.5
scenario_07,baseline,asi1,6,7,7,1.0,29,0,8,141997,1830,143827,17749.6,228.8,17978.4,2.0,0,70,0.1167,4591.125
scenario_07,structured_override,asi1,6,7,6,0.8571,15,1,6,91506,2320,93826,15251.0,386.7,15637.7,2.0,0,100,0.1667,4722.5
scenario_07,baseline,claude-haiku,6,7,7,1.0,21,0,8,163825,1962,165787,20478.1,245.2,20723.4,2.0,0,36,0.06,5732.0
scenario_07,structured_override,claude-haiku,6,7,7,1.0,21,0,7,134226,2202,136428,19175.1,314.6,19489.7,2.0,0,46,0.0767,5971.714285714285
scenario_07,baseline,deepseek-r1,6,7,7,1.0,26,0,8,168980,12145,181125,21122.5,1518.1,22640.6,2.25,0,57,0.095,47635.25
scenario_07,baseline,gemini-2.0-flash,6,7,3,0.4286,19,4,4,12539,293,12832,3134.8,73.2,3208.0,2.0,0,396,0.66,2623.25
scenario_07,structured_override,gemini-2.0-flash,6,7,4,0.5714,19,3,4,23584,1135,24719,5896.0,283.8,6179.8,2.75,0,292,0.4867,4091.25
scenario_07,baseline,gemma-4-26b-a4b,6,7,7,1.0,17,0,7,206152,2121,208273,29450.3,303.0,29753.3,3.7142857142857144,4,17,0.0283,22928.571428571428
scenario_07,structured_override,gemma-4-26b-a4b,6,7,7,1.0,18,0,7,176358,2078,178436,25194.0,296.9,25490.9,3.0,2,9,0.015,21779.14285714286
scenario_07,baseline,gpt-4o,6,7,7,1.0,18,0,7,105987,2473,108460,15141.0,353.3,15494.3,1.8571428571428572,0,28,0.0467,4864.857142857143
scenario_07,structured_override,gpt-4o,6,7,4,0.5714,15,3,4,37311,1216,38527,9327.8,304.0,9631.8,2.0,0,280,0.4667,4186.0
scenario_07,baseline,gpt-oss-20b,6,7,7,1.0,21,0,8,149503,19464,168967,18687.9,2433.0,21120.9,2.875,2,36,0.06,27298.75
scenario_07,structured_override,gpt-oss-20b,6,7,4,0.5714,12,3,4,30438,6132,36570,7609.5,1533.0,9142.5,2.25,1,99,0.165,18538.5
scenario_07,baseline,llama-3.3-70b,6,7,3,0.4286,15,4,4,43300,1148,44448,10825.0,287.0,11112.0,2.0,0,537,0.895,7796.5
scenario_07,structured_override,llama-3.3-70b,6,7,0,0.0,,7,1,3908,115,4023,3908.0,115.0,4023.0,2.0,0,198,0.33,3264.0
scenario_07,baseline,qwen3-32b,6,7,3,0.4286,10,4,3,10035,12118,22153,3345.0,4039.3,7384.3,1.0,0,280,0.4667,165626.0
scenario_07,structured_override,qwen3-32b,6,7,5,0.7143,14,2,5,48891,18323,67214,9778.2,3664.6,13442.8,1.8,0,183,0.305,125767.4
scenario_08,baseline,asi1,5,2,2,1.0,73,0,3,15463,453,15916,5154.3,151.0,5305.3,2.0,0,135,0.27,3898.0
scenario_08,structured_override,asi1,5,2,0,0.0,,0,1,3228,295,3523,3228.0,295.0,3523.0,2.0,0,96,0.192,4952.0
scenario_08,baseline,claude-haiku,5,2,2,1.0,73,0,3,18124,729,18853,6041.3,243.0,6284.3,2.0,0,158,0.316,4141.666666666667
scenario_08,structured_override,claude-haiku,5,2,1,0.5,26,0,2,10321,615,10936,5160.5,307.5,5468.0,2.0,0,141,0.282,4323.0
scenario_08,baseline,deepseek-r1,5,2,2,1.0,73,0,3,25575,4678,30253,8525.0,1559.3,10084.3,2.6666666666666665,0,113,0.226,48586.0
scenario_08,structured_override,deepseek-r1,5,2,2,1.0,76,0,3,16137,2171,18308,5379.0,723.7,6102.7,2.0,0,113,0.226,25309.666666666668
scenario_08,baseline,gemini-2.0-flash,5,2,2,1.0,73,0,3,6502,368,6870,2167.3,122.7,2290.0,2.0,0,137,0.274,2694.0
scenario_08,structured_override,gemini-2.0-flash,5,2,1,0.5,26,0,2,2167,131,2298,1083.5,65.5,1149.0,1.0,0,45,0.09,1705.5
scenario_08,baseline,gemma-4-26b-a4b,5,2,2,1.0,73,0,3,20200,358,20558,6733.3,119.3,6852.7,2.3333333333333335,0,136,0.272,13428.333333333334
scenario_08,structured_override,gemma-4-26b-a4b,5,2,2,1.0,73,0,3,15146,293,15439,5048.7,97.7,5146.3,2.0,0,110,0.22,11299.0
scenario_08,baseline,gpt-4o,5,2,2,1.0,76,0,3,12820,565,13385,4273.3,188.3,4461.7,2.0,0,138,0.276,3708.6666666666665
scenario_08,structured_override,gpt-4o,5,2,2,1.0,76,0,3,12554,263,12817,4184.7,87.7,4272.3,2.0,0,113,0.226,2137.6666666666665
scenario_08,baseline,gpt-oss-20b,5,2,0,0.0,,0,1,1955,2156,4111,1955.0,2156.0,4111.0,2.0,0,0,0.0,22139.0
scenario_08,structured_override,gpt-oss-20b,5,2,2,1.0,81,0,3,25139,6372,31511,8379.7,2124.0,10503.7,3.6666666666666665,0,94,0.188,22995.333333333332
scenario_08,baseline,llama-3.3-70b,5,2,2,1.0,73,0,3,15490,273,15763,5163.3,91.0,5254.3,2.0,0,136,0.272,3126.3333333333335
scenario_08,structured_override,llama-3.3-70b,5,2,2,1.0,81,0,3,16295,265,16560,5431.7,88.3,5520.0,2.0,0,94,0.188,2467.3333333333335
scenario_08,baseline,qwen3-32b,5,2,0,0.0,,0,1,368,4096,4464,368.0,4096.0,4464.0,0.0,0,0,0.0,128075.0
scenario_08,structured_override,qwen3-32b,5,2,2,1.0,81,0,3,14843,8631,23474,4947.7,2877.0,7824.7,2.0,0,94,0.188,104042.0
scenario_07,structured_override,deepseek-r1,6,7,0,0.0,,7,1,473,4096,4569,473.0,4096.0,4569.0,0.0,0,0,0.0,199479.0
