scenario,llm,n_tasks,baseline_tasks_completed,baseline_completion_rate,override_tasks_completed,override_completion_rate,delta_completion_rate
scenario_01,asi1,4,4,1.0,4,1.0,0.0
scenario_01,claude-haiku,4,3,0.75,4,1.0,0.25
scenario_01,deepseek-r1,4,4,1.0,4,1.0,0.0
scenario_01,gemini-2.0-flash,4,2,0.5,2,0.5,0.0
scenario_01,gemma-4-26b-a4b,4,4,1.0,4,1.0,0.0
scenario_01,gpt-4o,4,4,1.0,4,1.0,0.0
scenario_01,gpt-oss-20b,4,4,1.0,4,1.0,0.0
scenario_01,llama-3.3-70b,4,4,1.0,4,1.0,0.0
scenario_01,qwen3-32b,4,4,1.0,4,1.0,0.0
scenario_02,asi1,4,4,1.0,4,1.0,0.0
scenario_02,claude-haiku,4,4,1.0,4,1.0,0.0
scenario_02,deepseek-r1,4,4,1.0,4,1.0,0.0
scenario_02,gemini-2.0-flash,4,4,1.0,2,0.5,-0.5
scenario_02,gemma-4-26b-a4b,4,4,1.0,4,1.0,0.0
scenario_02,gpt-4o,4,4,1.0,4,1.0,0.0
scenario_02,gpt-oss-20b,4,0,0.0,4,1.0,1.0
scenario_02,llama-3.3-70b,4,4,1.0,4,1.0,0.0
scenario_02,qwen3-32b,4,4,1.0,4,1.0,0.0
scenario_03,asi1,5,5,1.0,5,1.0,0.0
scenario_03,claude-haiku,5,5,1.0,5,1.0,0.0
scenario_03,deepseek-r1,5,5,1.0,5,1.0,0.0
scenario_03,gemini-2.0-flash,5,5,1.0,5,1.0,0.0
scenario_03,gemma-4-26b-a4b,5,5,1.0,5,1.0,0.0
scenario_03,gpt-4o,5,5,1.0,5,1.0,0.0
scenario_03,gpt-oss-20b,5,1,0.2,5,1.0,0.8
scenario_03,llama-3.3-70b,5,5,1.0,5,1.0,0.0
scenario_03,qwen3-32b,5,5,1.0,5,1.0,0.0
scenario_04,asi1,5,4,0.8,0,0.0,-0.8
scenario_04,claude-haiku,6,5,0.8333,6,1.0,0.1667
scenario_04,deepseek-r1,5,4,0.8,6,1.0,0.2
scenario_04,gemini-2.0-flash,5,4,0.8,6,1.0,0.2
scenario_04,gemma-4-26b-a4b,5,4,0.8,6,1.0,0.2
scenario_04,gpt-4o,5,4,0.8,5,0.8333,0.0333
scenario_04,gpt-oss-20b,5,4,0.8,1,0.1667,-0.6333
scenario_04,llama-3.3-70b,6,6,1.0,6,1.0,0.0
scenario_04,qwen3-32b,5,4,0.8,6,1.0,0.2
scenario_05,asi1,4,0,0.0,3,0.75,0.75
scenario_05,claude-haiku,4,3,0.75,3,0.75,0.0
scenario_05,deepseek-r1,4,0,0.0,3,0.75,0.75
scenario_05,gemini-2.0-flash,4,3,0.75,3,0.75,0.0
scenario_05,gemma-4-26b-a4b,4,3,0.75,3,0.75,0.0
scenario_05,gpt-4o,4,3,0.75,3,0.75,0.0
scenario_05,gpt-oss-20b,4,0,0.0,3,0.75,0.75
scenario_05,llama-3.3-70b,4,0,0.0,2,0.5,0.5
scenario_05,qwen3-32b,4,3,0.75,3,0.75,0.0
scenario_06,asi1,8,8,1.0,7,0.875,-0.125
scenario_06,claude-haiku,8,8,1.0,8,1.0,0.0
scenario_06,deepseek-r1,8,8,1.0,8,1.0,0.0
scenario_06,gemini-2.0-flash,8,8,1.0,7,0.875,-0.125
scenario_06,gemma-4-26b-a4b,8,8,1.0,7,0.875,-0.125
scenario_06,gpt-4o,8,7,0.875,7,0.875,0.0
scenario_06,gpt-oss-20b,8,5,0.625,8,1.0,0.375
scenario_06,llama-3.3-70b,8,7,0.875,7,0.875,0.0
scenario_06,qwen3-32b,8,7,0.875,7,0.875,0.0
scenario_07,asi1,7,7,1.0,6,0.8571,-0.1429
scenario_07,claude-haiku,7,7,1.0,7,1.0,0.0
scenario_07,deepseek-r1,7,7,1.0,,,-1.0
scenario_07,gemini-2.0-flash,7,3,0.4286,4,0.5714,0.1428
scenario_07,gemma-4-26b-a4b,7,7,1.0,7,1.0,0.0
scenario_07,gpt-4o,7,7,1.0,4,0.5714,-0.4286
scenario_07,gpt-oss-20b,7,7,1.0,4,0.5714,-0.4286
scenario_07,llama-3.3-70b,7,3,0.4286,0,0.0,-0.4286
scenario_07,qwen3-32b,7,3,0.4286,5,0.7143,0.2857
scenario_08,asi1,2,2,1.0,0,0.0,-1.0
scenario_08,claude-haiku,2,2,1.0,1,0.5,-0.5
scenario_08,deepseek-r1,2,2,1.0,2,1.0,0.0
scenario_08,gemini-2.0-flash,2,2,1.0,1,0.5,-0.5
scenario_08,gemma-4-26b-a4b,2,2,1.0,2,1.0,0.0
scenario_08,gpt-4o,2,2,1.0,2,1.0,0.0
scenario_08,gpt-oss-20b,2,0,0.0,2,1.0,1.0
scenario_08,llama-3.3-70b,2,2,1.0,2,1.0,0.0
scenario_08,qwen3-32b,2,0,0.0,2,1.0,1.0
